basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
NA,NA,40.8,NA,NA,NA,NA,NA,5160,NA,NA,14158790,NA,44.3345666,NA,-122.0470074,NA,2019-05-31T07:45:00Z,NA,"Smith River Abv Smith R Resv,nr Belknap Sprngs,or",NA,NA,5.88,or
NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,14158798,NA,44.28988889,NA,-122.0485833,NA,2019-05-31T07:00:00Z,NA,Smith River Abv Trail Brdg Resv Nr Belknap Springs,NA,NA,2196.65,or
NA,NA,839,NA,NA,NA,NA,NA,11200,NA,TRBO3,14158850,NA,44.2679001,NA,-122.0497826,NA,2019-05-31T07:30:00Z,NA,"Mckenzie R Blw Trail Br Dam Nr Belknap Springs, Or",NA,NA,6.62,or
NA,NA,1440,NA,NA,NA,NA,NA,19700,NA,CMRO3,14159110,NA,44.1663755,NA,-122.2565336,NA,2019-05-31T06:15:00Z,NA,"Mckenzie River Above South Fork, Near Rainbow, Or",NA,NA,9.03,or
NA,NA,401,NA,NA,NA,NA,NA,18400,NA,SFCO3,14159200,NA,44.047067,NA,-122.2178245,NA,2019-05-31T06:15:00Z,NA,So Fk Mckenzie River Abv Cougar Lake Nr Rainbow Or,NA,NA,4.29,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14159400,NA,44.1273722,NA,-122.2447444,NA,2019-05-31T06:50:00Z,NA,"Cougar Lake Near Rainbow, Or",NA,NA,1628.56,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14159410,NA,44.1305472,NA,-122.2435889,NA,2019-05-31T06:50:00Z,NA,"Cougar Dam Tailwater Near Rainbow, Or",NA,NA,1254.18,or
NA,NA,1920,NA,NA,NA,NA,NA,24500,NA,CGRO3,14159500,NA,44.13595817,NA,-122.248391,NA,2019-05-31T07:45:00Z,NA,"South Fork Mckenzie River Near Rainbow, Or",NA,NA,3.11,or
NA,NA,10,NA,NA,NA,NA,NA,12400,NA,BRTO3,14161100,NA,44.2179043,NA,-122.2650676,NA,2019-05-31T06:15:00Z,NA,"Blue River Below Tidbits Creek, Nr Blue River, Or",NA,NA,2.31,or
NA,NA,47.3,NA,NA,NA,NA,NA,8000,NA,NA,14161500,NA,44.2095708,NA,-122.256733,NA,2019-05-31T06:15:00Z,NA,"Lookout Creek Near Blue River, Or",NA,NA,2.08,or
